stabbr,txc2010,txc2030,diff,pch,pop,txc2010_pc,txc2030_pc,diff_pc
AK,17080.465229152098,16865.01395859892,-215.4512705531779,-1.2613899426196908,695679.43,24552.206796098737,24242.507728881563,-309.6990672171777
AL,116736.60306821609,115488.23469246704,-1248.3683757490508,-1.0693889859203418,4768012.88,24483.281821213557,24221.46030202566,-261.8215191878951
AR,70484.98431931203,69850.02704277073,-634.9572765413031,-0.9008404877623454,2895970.91,24338.982161706874,24119.72675608497,-219.25540562191046
AZ,161084.96827129362,159185.7116829419,-1899.256588351709,-1.1790402349355456,6657182.45,24197.168919607062,23911.87456232958,-285.2943572774859
CA,943696.1196152712,931609.734749961,-12086.384865310276,-1.2807496623211387,38701329.65,24384.0748664115,24071.775909899803,-312.298956511699
CO,132508.30352791652,130343.78726736402,-2164.5162605524965,-1.6334948097018551,5377435.82,24641.54068284473,24239.022394759893,-402.5182880848397
CT,88444.97682453602,86731.88709477356,-1713.0897297624615,-1.9368988395587705,3577861.93,24720.064260427178,24241.261622628786,-478.80263779839635
DC,16212.019116401832,16434.485643756212,222.46652735437965,1.372232081377874,656870.05,24680.709854866775,25019.38647340705,338.6766185402724
DE,22811.85217337352,22401.982632814346,-409.8695405591752,-1.7967394205613152,929459.1,24543.14791621656,24102.171502559228,-440.97641365733597
FL,485534.65434361045,481442.22943818144,-4092.424905429012,-0.8428697867017384,19731106.25,24607.57385783225,24400.164052544264,-207.4098052879834
GA,244026.6760270742,239680.28157944645,-4346.394447627739,-1.7811144742001555,9965114.51,24488.095523859083,24051.934510027666,-436.1610138314145
HI,33570.89364409491,33031.79059501574,-539.1030490791745,-1.6058644574509329,1365436.24,24586.20377916358,24191.382671237534,-394.82110792604607
IA,74768.62743923056,73966.61629258958,-802.0111466409871,-1.0726573084317148,3080784.68,24269.345379642225,24009.018472718963,-260.3269069232671
ID,38713.56326855754,38101.70130362967,-611.8619649278698,-1.5804847533236837,1610150.57,24043.442886560315,23663.43993756414,-380.00294899617353
IL,313314.3763157382,309351.9667851319,-3962.4095306062954,-1.2646753006358167,12797933.5,24481.63809537987,24172.02486519655,-309.6132301833179
IN,157902.05737774758,155590.35554303922,-2311.701834708365,-1.4640099521807388,6477544.1,24376.84019437978,24019.960827906863,-356.8793664729145
KS,68985.90937520523,68079.63657339865,-906.2728018065827,-1.3137071178948805,2852950.38,24180.55002246665,23862.88841567537,-317.6616067912764
KY,106204.16633735802,104658.89015993074,-1545.2761774272803,-1.4550052325807101,4315748.46,24608.51630295386,24250.461103085407,-358.0551998684558
LA,110969.34844648767,110706.06350965645,-263.2849368312163,-0.23725915355642485,4556524.76,24353.943913713676,24296.161952526392,-57.78196118728352
MA,164411.03291945616,162726.1682029863,-1684.8647164698632,-1.0247881097464224,6658125.01,24693.29318276891,24440.239250327068,-253.0539324418397
MD,146791.73239866077,144669.9498053574,-2121.78259330336,-1.4454373953030053,5938877.58,24717.083391818418,24359.813425444845,-357.2699663735719
ME,32446.800886306068,31785.051327423458,-661.7495588826096,-2.0394909230077474,1299647.42,24965.848727115597,24456.67250847423,-509.1762186413679
MI,242937.1034825362,239117.19993731705,-3819.903545219131,-1.5723837530209661,9906414.12,24523.212995111113,24137.613978257257,-385.5990168538534
MN,132824.79365602857,130943.72007080776,-1881.0735852208163,-1.416206668532204,5418510.5,24513.15608893414,24165.999137734947,-347.15695119919326
MO,145700.57302741546,143783.0626855265,-1917.510341888963,-1.3160623201723156,5961291.84,24441.107219373356,24119.447016626265,-321.6602027470883
MS,71928.45150437033,71374.68297635877,-553.7685280115547,-0.7698880157011417,2965302.67,24256.698053818003,24069.94864249685,-186.74941132115688
MT,24789.65921099265,24439.386868040245,-350.27234295240487,-1.412977645118579,1009073.46,24566.753753480592,24219.631014812585,-347.12273866801024
NC,241533.2091032318,236385.01713523222,-5148.191967999592,-2.1314634070875296,9835839.3,24556.441167479403,24033.029609911602,-523.4115575678012
ND,17732.306846499436,17790.22573331329,57.91888681385535,0.32662917078546505,733392.2,24178.47755471007,24257.451515455567,78.97396074549927
NE,45512.060637325805,45044.99124126196,-467.0693960638455,-1.0262541170917405,1881030.42,24195.28156132946,23946.97648816438,-248.30507316508232
NH,32959.186446352396,32324.495803210157,-634.6906431422394,-1.9256866190411712,1319678.01,24975.172880506205,24494.229318263897,-480.94356224230745
NJ,221132.28294805618,217836.50433373355,-3295.778614322626,-1.4904104323369203,8939303,24737.083299229947,24368.39922908235,-368.68407014759714
NM,49453.646169684034,48720.89149000175,-732.7546796822862,-1.4817000088690686,2035209.88,24299.03994456043,23939.00106754678,-360.03887701365045
NV,69495.91764338777,68654.20729343942,-841.7103499483492,-1.211165171265904,2823428.68,24614.015624218908,24315.89923972842,-298.1163844904873
NY,484372.4268660729,479604.5920120905,-4767.8348539824365,-0.9843324247068929,19679440.1,24613.120312608535,24370.84538863941,-242.2749239691243
OH,282840.03249051137,278600.0801257664,-4239.952364744968,-1.49906373840033,11535554.32,24518.98059204071,24151.425444960016,-367.5551470806968
OK,90821.55815051835,89977.45761266435,-844.1005378539994,-0.9294054793192094,3741741.26,24272.538328991344,24046.94802779184,-225.59030119950074
OR,97598.69750676368,96069.1220657645,-1529.5754409991787,-1.567208866586747,3962334.9,24631.612412863862,24245.583599146175,-386.02881371768416
PA,310196.0865544125,306439.4049836595,-3756.6815707529895,-1.2110667199194398,12627085.15,24565.929735130714,24268.41993566975,-297.50979946096186
RI,25724.35232517754,25430.876790715094,-293.4755344624464,-1.1408471270828038,1048170.22,24542.15148869383,24262.16305851076,-279.98843018307315
SC,116761.77306487474,114924.39835797145,-1837.3747069032834,-1.5736098028268277,4764308.55,24507.601016914563,24121.947004874706,-385.6540120398549
SD,20452.50607957333,20289.73496544288,-162.77111413044986,-0.7958492396832257,846823.14,24152.039680414648,23959.825856250078,-192.21382416457095
TN,159965.8059796708,157377.77823510361,-2588.0277445671964,-1.617863098127418,6501977.57,24602.63885217783,24204.601837022885,-398.0370151549441
TX,645763.2155814879,638543.8925130038,-7219.323068484082,-1.1179520440759894,26687380.84,24197.32455024567,23926.810065824495,-270.51448442117265
UT,68486.61169150642,68361.64306930576,-124.96862220065668,-0.18247160885045663,2929425.98,23378.850381980435,23336.1906175577,-42.65976442274083
VA,203959.54601804973,200877.53879679242,-3082.007221257314,-1.5110875080024777,8258805.65,24696.009890733985,24322.831570300048,-373.1783204339376
VT,15330.57458367808,15121.233776280544,-209.340807397537,-1.3655118159786048,616998.15,24847.03492818914,24507.745730324383,-339.2891978647537
WA,174585.77730009228,172026.57355580517,-2559.203744287108,-1.4658718389689553,7084951.83,24641.773365464403,24280.556549077508,-361.2168163868953
WI,141002.74831307848,139044.60791758186,-1958.1403954966227,-1.3887249850966192,5747234.79,24534.015655392857,24193.3056501389,-340.7100052539567
WV,45278.66983819183,44534.56640405196,-744.1034341398699,-1.6433862496380816,1825538.1,24802.916925257177,24395.309198998344,-407.6077262588329
WY,14003.865044636803,13883.455132545821,-120.40991209098138,-0.8598334224671491,571958.28,24484.067342528553,24273.54514833813,-210.5221941904248
