stabbr,2010_tax,2020_tax,2030_tax,2040_tax,pch2040,css,stname
AL,53709762.32592101,56324046.32060056,58054538.10204429,58469656.03833909,3.8094026581924965,0,Alabama
AK,7405151.737687509,8074148.913502492,8632205.491118697,9110981.723969908,12.841388257448514,0,Alaska
AZ,67668341.75422537,77786431.54065078,87949448.65410008,97074347.48914288,24.795990208668115,0,Arizona
AR,32983732.689493172,34737207.30600677,36119220.816039644,36740431.36109364,5.76679649990308,0,Arkansas
CO,56879705.679418124,67119120.35471569,77884253.71488051,88700719.59069234,32.154174729824746,0,Colorado
CT,40407076.52720359,41495089.368038654,41737152.76949612,40926857.814180285,-1.3693946982942293,0,Connecticut
DE,9854567.960485328,11095247.390671639,12222737.100223742,13126376.305639187,18.306296772393054,0,Delaware
DC,7542494.345282324,9448310.054869818,11656900.629372386,14048858.81118241,48.69176317876435,0,District of Columbia
FL,202490122.2329718,236825221.61491898,273023925.55295885,306635918.06928444,29.477728756390064,0,Florida
GA,103724948.26887679,116494545.78790343,128446410.40663224,138414058.35246548,18.815913153968552,0,Georgia
HI,12872849.656992711,14438359.997333013,15861836.238335032,17046750.975286797,18.065701218390416,0,Hawaii
ID,16687897.777623584,18859513.88322915,20914081.60684647,22658354.25438076,20.14283292068164,0,Idaho
IL,141767517.32267413,144574088.302349,145053967.06718165,142137213.1508774,-1.6855545693467207,0,Illinois
IN,73315507.916058,77342792.5832762,80185592.64108163,81348111.32854134,5.178658038436552,0,Indiana
IA,35783271.925280966,37965758.63254654,39664320.3983693,40655403.99452143,7.0843977806600975,0,Iowa
KS,32215202.44358843,33900216.856542096,35079288.916483685,35569295.08374723,4.923503098131448,0,Kansas
KY,50097314.878883965,52812508.82400698,54709668.84113358,55400244.03725186,4.89985283953898,0,Kentucky
LA,49953477.30502885,53653399.62427591,56848491.59038792,58880461.30489628,9.74227489259664,0,Louisiana
ME,16209851.430948842,16636842.880475927,16614281.28299272,16213458.150461104,-2.5448622257031985,0,Maine
MD,62733630.9568637,68447748.20397909,73471621.83687724,77213968.60804808,12.807171359304675,0,Maryland
MA,74538309.39006183,81127243.5020981,86844349.2365212,90688230.28739661,11.785173971862179,0,Massachusetts
MI,113395762.81832658,116355927.40464182,116760968.8857096,114636682.6664369,-1.4775738344863498,0,Michigan
MN,61127496.28582485,66348624.20096808,70612687.57333054,73627582.19478232,10.970774573661828,0,Minnesota
MS,32524940.46912921,33683971.04557962,34303242.82335776,34070931.69356555,1.148797591181605,0,Mississippi
MO,69050929.81653623,72214705.91465402,74185205.67150071,74578143.4573937,3.2727925881646343,0,Missouri
MT,11799602.156854799,13021324.366147282,14063813.382150022,14957977.853491265,14.872937904679475,0,Montana
NE,21090982.622515306,22906806.016794287,24525447.419335075,25737378.822879765,12.35690739254622,0,Nebraska
NV,28820531.50352247,32969927.174943734,37329076.600444086,41398452.81595518,25.564283464407822,0,Nevada
NJ,93742735.70571825,98358981.98788469,101739340.24488002,102596315.4687325,4.308029012916933,0,New Jersey
NM,22112055.74145523,23183671.778936684,23714839.171575375,23714195.005846065,2.288348592785809,0,New Mexico
NC,108512918.86325052,121640880.4398056,133716585.25477245,143662426.44107616,18.10373775793903,0,North Carolina
ND,8196428.636764532,10332589.89611125,11542625.140047083,12929735.284796054,25.1354734369382,0,North Dakota
OK,41642223.052963234,45510803.971583694,49116352.82800031,51910644.10274157,14.06224362714805,0,Oklahoma
OR,43744308.1894015,48811297.2592052,53446838.1323461,57534266.990879156,17.870800862660772,0,Oregon
PA,147013684.7540027,151742505.62550795,153478895.70299575,151989409.04359537,0.1627121003898253,0,Pennsylvania
RI,12226026.122109435,12508642.69055745,12564705.048374193,12315282.093128625,-1.5458159786975898,0,Rhode Island
SC,52019394.20536147,59083016.321474105,65712166.5831603,71453204.99970545,20.936962004316825,0,South Carolina
SD,9533739.870797917,10705957.094631251,11836476.111662496,12824039.296025157,19.78414617835584,0,South Dakota
US,3372947665.195964,3696062911.5862308,3990276062.77187,4223747503.6739326,14.276937506489489,0,United States
UT,25186801.353293464,29911260.562964622,35145678.99126153,40224096.79498231,34.478106365021546,0,Utah
VT,7616203.990581266,7808824.067432297,7781214.186945428,7605572.768459689,-2.6028413141012408,0,Vermont
VA,88548411.93104093,98004153.73953545,106697378.04040843,113688020.63696235,16.003267513650215,0,Virginia
WA,76088701.69310386,87152445.1686232,98026892.10566586,108257387.41909151,24.21612177332983,0,Washington
WV,21819811.13522766,22042441.55406492,21798144.323387973,21111911.51877389,-4.221537949907486,0,West Virginia
WI,67205586.64996433,70383141.6105678,72204533.16655725,72513154.1658044,3.0263107137530767,0,Wisconsin
WY,6511742.932261596,7097316.994665464,7634849.555767673,8079856.391158484,13.843814461598967,0,Wyoming
CA,365198355.7170856,406839654.1895325,446819485.09646463,478519832.7307474,17.618778750564374,1,California
NH,15457375.284905141,16128199.399933409,16391419.543854289,16290351.749425946,1.0053964827171313,1,New Hampshire
NY,212607215.78458694,224377845.57717,233364359.59908175,237155125.1392177,5.694537056089715,1,New York
OH,135386256.02575323,139264824.82867715,140457648.47699532,138734285.7826257,-0.3809569621791411,1,Ohio
TN,72228394.60700102,78856692.55087987,84636932.3670318,88900725.07017857,12.737070493817754,1,Tennessee
TX,257090617.25129864,308123607.6498765,363944793.90932965,420008874.122149,36.31181243321308,1,Texas
