stabbr,stname,vname,val_2009,val_2016,val_change,val_pch,pctshare_of_change,pctshare_2009,pctshare_2016,pctshare_change
CA,California,agi,996.255774,1413.475964,417.22019,41.878822777091386,100,100,100,0
CA,California,wages,724.744459,979.623037,254.87857799999995,35.16806162984406,61.08970373653296,72.74682645904545,69.30595651784284,-3.4408699412026067
CA,California,retinc,89.270775,136.730084,47.459309000000005,53.163321366931115,11.375122809852515,8.960628116771145,9.67332218462825,0.7126940678571039
CA,California,txblpension,56.599257,79.464535,22.865277999999996,40.39854798800627,5.480386267979983,5.681197386967416,5.62192333112783,-0.05927405583958656
CA,California,iradist,14.598768,27.659855,13.061087,89.46704954829065,3.1305021456416093,1.4653634519361893,1.9568677292343402,0.4915042772981508
CA,California,txblsocsec,18.07275,29.605694,11.532944,63.8139962097633,2.7642343962309206,1.8140672778675409,2.094531124266079,0.2804638463985383
CA,California,non_wage_cg_retagi,152.861761,182.16803,29.306268999999986,19.17174629435283,7.0241732548944915,15.343626103792097,12.887946780819826,-2.455679322972271
CA,California,netcgll,29.378779,114.954813,85.57603399999999,291.28519602533515,20.51100019872001,2.9489193203913118,8.132774516709079,5.183855196317767
NH,New Hampshire,agi,39.360849,51.608751,12.247901999999996,31.116965998370603,100,100,100,0
NH,New Hampshire,wages,29.353064,37.127797,7.774733000000001,26.4869555014768,63.478079756026816,74.57426540774057,71.94089428748237,-2.6333711202582037
NH,New Hampshire,retinc,4.012093,6.245732,2.233639,55.67266262272585,18.236911105265218,10.193105844845979,12.102079354720289,1.9089735098743095
NH,New Hampshire,txblpension,2.336917,3.155535,0.8186179999999998,35.02982776024993,6.683740611249177,5.937161060728136,6.114340957408561,0.17717989668042478
NH,New Hampshire,iradist,0.780409,1.488257,0.7078479999999999,90.70218308604845,5.779340820983056,1.9827036759293477,2.88372993177068,0.9010262558413322
NH,New Hampshire,txblsocsec,0.894767,1.60194,0.7071729999999999,79.03431843150227,5.773829673032982,2.2732411081884942,3.1040084655410474,0.8307673573525531
NH,New Hampshire,non_wage_cg_retagi,4.943565,5.415493,0.47192799999999924,9.54630919184838,3.853133377455171,12.559599514736078,10.493361871904243,-2.066237642831835
NH,New Hampshire,netcgll,1.052127,2.819729,1.7676020000000001,168.00272210484098,14.43187576125283,2.6730292326773744,5.4636644858931005,2.790635253215726
NY,New York,agi,602.715414,769.643997,166.928583,27.696086597844996,100,100,100,0
NY,New York,wages,421.675495,521.574153,99.89865800000001,23.690885333519333,59.84514826918528,69.96262003679236,67.76823505842273,-2.1943849783696265
NY,New York,retinc,53.360427,80.147351,26.786924,50.19998059610728,16.046936671115215,8.853337041086526,10.413561505372204,1.5602244642856782
NY,New York,txblpension,33.582781,45.343862,11.761081000000004,35.02116456644853,7.045576490636122,5.571913413848745,5.891537149220434,0.31962373537168887
NY,New York,iradist,7.291131,15.194157,7.9030260000000006,108.39231938090265,4.734375538310297,1.2097137107563671,1.9741798882633266,0.7644661775069594
NY,New York,txblsocsec,12.486515,19.609332,7.122816999999998,57.04407514826991,4.2669846421688,2.071709916481413,2.5478444678884435,0.47613455140703076
NY,New York,non_wage_cg_retagi,99.643347,102.327219,2.683871999999994,2.693478371416006,1.6077965509357937,16.532403964700993,13.295396234994605,-3.237007729706388
NY,New York,netcgll,28.036145,65.595274,37.559129,133.96680963092464,22.500118508763713,4.6516389574201265,8.522807201210458,3.871168243790332
OH,Ohio,agi,257.3594,325.566075,68.20667500000002,26.502500005828438,100,100,100,0
OH,Ohio,wages,192.757717,234.293701,41.535983999999985,21.548285924137602,60.89724209544003,74.89826173048274,71.9650230755769,-2.93323865490585
OH,Ohio,retinc,32.682461000000004,46.765416,14.082954999999998,43.09025259756294,20.647473286155634,12.699151847571919,14.364339404835103,1.6651875572631845
OH,Ohio,txblpension,21.71353,28.188424,6.474894000000003,29.81962859102137,9.493050350277302,8.437045625689212,8.658280504195654,0.22123487850644175
OH,Ohio,iradist,5.280485,9.293518,4.013033000000001,75.99743205406324,5.883636755493506,2.0517941058302123,2.854571994333255,0.8027778885030425
OH,Ohio,txblsocsec,5.688446,9.283474,3.595028,63.1987716856238,5.270786180384836,2.210312116052493,2.8514869063061927,0.6411747902536997
OH,Ohio,non_wage_cg_retagi,28.672087,33.378696,4.706608999999997,16.415299660607175,6.900510837099148,11.140874201602895,10.2525104926857,-0.8883637089171952
OH,Ohio,netcgll,3.247135,11.128262,7.881126999999999,242.71017373777187,11.554773781305125,1.2617122203424473,3.4181270269022956,2.156414806559848
TN,Tennessee,agi,130.485371,174.85228,44.36690900000002,34.00144296635369,100,100,100,0
TN,Tennessee,wages,98.379885,125.891197,27.511312000000004,27.96436690284807,62.00862899869809,75.39533684584458,71.9986019055628,-3.396734940281789
TN,Tennessee,retinc,14.688186,21.971243,7.283057000000001,49.58445515327762,16.4155158972197,11.256576800475205,12.565602804836173,1.3090260043609678
TN,Tennessee,txblpension,9.135851,12.302649,3.166798,34.663415592045,7.137747639800642,7.0014369656810045,7.036024351526899,0.034587385845894936
TN,Tennessee,iradist,2.381769,4.212594,1.8308250000000004,76.86828571536537,4.126555221595445,1.8253149619354647,2.409230237089273,0.5839152751538084
TN,Tennessee,txblsocsec,3.170566,5.456,2.2854340000000004,72.08283946777959,5.151213035823612,2.4298248728587364,3.12034821622,0.6905233433612636
TN,Tennessee,non_wage_cg_retagi,14.321846,17.786719,3.4648730000000008,24.192921778379684,7.809588448002991,10.975825021794975,10.172426118778663,-0.803398903016312
TN,Tennessee,netcgll,3.095454,9.203121,6.107666999999999,197.31086296226658,13.766266656079187,2.372261331885243,5.263369170822364,2.8911078389371214
TX,Texas,agi,588.289807,779.505214,191.21540700000003,32.50360701898069,100,100,100,0
TX,Texas,wages,441.541935,581.614656,140.07272099999994,31.72353742572605,73.25388847981267,75.05517344447208,74.61331182320994,-0.44186162126213446
TX,Texas,retinc,50.271128,77.873251,27.602123,54.906512143511065,14.435093611468242,8.545299850826755,9.990087250397787,1.444787399571032
TX,Texas,txblpension,31.013965,43.441643,12.427678,40.07123242706956,6.499307872194629,5.271885494354656,5.57297657793473,0.30109108358007397
TX,Texas,iradist,9.205749,17.453179,8.247429999999998,89.58999425250457,4.313161857297407,1.564832314016279,2.239007345498012,0.674175031481733
TX,Texas,txblsocsec,10.051414,16.978429,6.927014999999999,68.91582617132275,3.6226238819762036,1.7085820424558196,2.178103326965046,0.46952128450922626
TX,Texas,non_wage_cg_retagi,76.73289,77.345467,0.6125770000000017,0.7983238999599678,0.32035964549655854,13.043382544957133,9.922379685326902,-3.121002859630231
TX,Texas,netcgll,19.743854,42.67184,22.927986000000004,116.12720596495501,11.990658263222482,3.356144159744043,5.4742212410653615,2.1180770813213186
