stabbr,stname,pgroup,wcpopk_2020,wcpopk_2040,wcpopk_pch,wcpit_pc_2020,wcpit_pc_2040,wcpit_pc_pch,wcpit_level_2020,wcpit_level_2040,wcpit_level_pch
CA,California,< 65,34680.23928763954,38675.20380008218,11.519426031949237,1380.540169443349,1361.5381357455606,-1.3764201953971593,47877463422.493774,52657764881.54351,9.984450130254501
CA,California,65plus,5758.4006290667585,7791.797690219174,35.311837298857085,1171.6849095104794,1037.9286652391088,-11.415717927719399,6747031119.993173,8087330176.422358,19.865019630004937
CA,California,total,40438.63991670629,46467.00149030135,14.907429097546327,1350.799499068219,1307.2738311002197,-3.222215287910842,54624494542.486946,60745095057.965866,11.204864350219879
NH,New Hampshire,< 65,1096.4052254855724,1051.8114339197912,-4.067272804727068,68.69837693828806,61.26319926697219,-10.822930617407337,75321259.45751657,64437333.46750791,-14.450005308458117
NH,New Hampshire,65plus,256.51226006575826,341.63993819776164,33.18659237191255,157.3476687312739,152.64355233698484,-2.989632088113723,40361606.12233731,52149133.786694296,29.204803269296605
NH,New Hampshire,total,1352.9174855513306,1393.4513721175529,2.9960353827272854,85.50622400501511,83.66740999151772,-2.150503118216932,115682865.57985388,116586467.25420222,0.7811024301819174
NY,New York,< 65,16900.41378457482,17179.957011496277,1.6540614359194024,2017.1023927918327,1996.3681895549364,-1.0279202142137365,34089865084.037937,34297519675.672455,0.60913878985032
NY,New York,65plus,3130.7366066296877,3693.5307386518825,17.97641267011778,1024.8758164211745,936.007692039552,-8.671111461283814,3208616235.719259,3457173182.16269,7.746546429467699
NY,New York,total,20031.150391204505,20873.487750148157,4.205137211258304,1862.0239272994831,1808.7390717714227,-2.8616633087707015,37298481319.757195,37754692857.835144,1.2231370338295449
OH,Ohio,< 65,9692.665355858195,9404.903297819888,-2.9688640582683945,851.7174156550572,842.7719464392039,-1.050286051621157,8255411887.700848,7926188658.376155,-3.9879685447939863
OH,Ohio,65plus,2012.5966765200894,2346.637166449177,16.597487903371942,472.82810142190715,423.40525848755556,-10.452602708198881,951612265.4870341,993578516.0369188,4.4100157250922365
OH,Ohio,total,11705.262032378285,11751.540464269065,0.39536433924133974,786.5713836836843,759.0296099080723,-3.501497047429808,9207024153.187881,8919767174.413074,-3.1199763788535932
TN,Tennessee,< 65,5708.800947799641,6322.269270733776,10.746010038598115,38.532189719175044,36.03629514528315,-6.477427294119877,219972601.18962204,227831161.42811638,3.572517757209255
TN,Tennessee,65plus,1153.0550126066769,1501.393220371596,30.21002501671117,77.48326845767654,74.31181518505679,-4.093081430027809,89342471.08827277,111571255.51235127,24.880422662717578
TN,Tennessee,total,6861.8559604063175,7823.662491105372,14.016711167485681,45.07746505649166,43.381525893573524,-3.762277139570216,309315072.2778948,339402416.94046766,9.727086507941578
TX,Texas,< 65,25835.646860799563,34073.53364181206,31.885738434952202,0,0,NaN,0,0,NaN
TX,Texas,65plus,3768.452628381639,5942.379199323748,57.687512231663675,0,0,NaN,0,0,NaN
TX,Texas,total,29604.0994891812,40015.91284113581,35.17017417050502,0,0,NaN,0,0,NaN
