stabbr,stname,hgroup,hhnumk_2020,hhnumk_2040,hhnumk_pch,taxexp_phh_2020,taxexp_phh_2040,taxexp_phh_pch,taxexp_m_2020,taxexp_m_2040,taxexp_m_pch
CA,California,< 65,10458.81555038646,11823.439849885171,13.047598869341257,19568.5311285674,19639.8785218807,0.3646027023926308,204663.65766568226,232210.92236250814,13.459773469808852
CA,California,65plus,3469.592573921739,4840.602419400744,39.515009796361454,14436.841367303303,13668.99704976718,-5.318644833731739,50089.95759888171,66166.18018988465,32.094701935546965
CA,California,total,13928.408124308198,16664.042269285914,19.640680546999633,18290.217589184635,17905.44561341771,-2.103703654102233,254753.61526456397,298377.10255239275,17.12379517853961
NH,New Hampshire,< 65,400.2629764750599,372.9615240063219,-6.820878790531637,0,0,NaN,0,0,NaN
NH,New Hampshire,65plus,156.78974359796067,206.8698963669174,31.940962220954958,0,0,NaN,0,0,NaN
NH,New Hampshire,total,557.0527200730205,579.8314203732393,4.0891462296841325,0,0,NaN,0,0,NaN
NY,New York,< 65,5629.703255673635,5729.021501348712,1.764182607226843,21146.409952438804,21214.563734616775,0.3222948118912825,119048.01295505409,121538.69177735214,2.0921632881335057
NY,New York,65plus,2097.2262353579367,2570.5618192761503,22.56960054848011,16889.767716130897,16195.506970278007,-4.110540520873016,35421.663963371226,41631.55186161741,17.53132745166262
NY,New York,total,7726.929491031572,8299.583320624863,7.411143459480954,19991.081463563743,19660.052479199006,-1.6558833246119207,154469.6769184253,163170.24363896955,5.632540246160403
OH,Ohio,< 65,3466.0358299700247,3285.0244962236684,-5.222431118028055,23026.482992592802,23067.974583629024,0.1801907440644328,79810.61509052206,75778.86158548633,-5.0516507114534335
OH,Ohio,65plus,1392.3269867667887,1667.2043505766858,19.742299504529996,18458.65261533379,17519.401595700598,-5.088405092216476,25700.480175682602,29208.422559852166,13.649326239004395
OH,Ohio,total,4858.362816736813,4952.228846800354,1.9320506434838052,21717.41783111057,21200.00658151551,-2.382471312284011,105511.09526620466,104987.28414533849,-0.4964512211200116
TN,Tennessee,< 65,1975.5251775110726,2146.5788711540845,8.65864407046027,25961.343652638523,25951.30451176725,-0.03866957352283862,51287.28802780467,55706.52194384524,8.61662623620252
TN,Tennessee,65plus,761.159084105334,997.6351964568636,31.06789596152339,21150.332951030527,20306.509637527197,-3.9896455316190043,16098.76805752926,20258.48873158764,25.83875150690747
TN,Tennessee,total,2736.6842616164063,3144.214067610948,14.891370981679714,24623.24829738771,24160.25405456983,-1.8803134226080118,67386.05608533393,75965.01067543289,12.731053111692802
TX,Texas,< 65,8194.138408210629,10828.267349064909,32.14650289791115,22723.873283505476,22706.063047181797,-0.07837676306972696,186202.56285568362,245867.32111960792,32.0429307464299
TX,Texas,65plus,2365.212970933435,3788.508391485583,60.17620561206556,18595.422331970032,17854.254881320743,-3.985752178239281,43982.13409956078,67640.99444160608,53.79197900786164
TX,Texas,total,10559.351379144066,14616.775740550493,38.42493933311383,21799.132227940223,21448.52744038931,-1.6083428637656425,230184.6969552444,313508.315561214,36.19859169967782
